DateTime,Date,Product,Category,Qty,MRP,Discount_Pct,Selling_Price,Revenue,Customer,Payment_Method
2025-01-01 19:16,2025-01-01,Face Cream,Beauty,1,380,0,380,380,CUST0197,UPI
2025-01-01 13:39,2025-01-01,Toy Car,Toys,3,450,0,450,1350,CUST0111,Credit Card
2025-01-01 11:42,2025-01-01,Phone Cover,Electronics,1,240,5,228,228,CUST0092,Credit Card
2025-01-01 10:20,2025-01-01,Watch,Accessories,2,3350,5,3182,6364,CUST0207,Cash
2025-01-01 17:29,2025-01-01,Wallet,Bags,1,710,20,568,568,CUST0266,Debit Card
2025-01-01 20:45,2025-01-01,Socks (3pk),Clothing,1,190,0,190,190,CUST0083,Credit Card
2025-01-01 18:02,2025-01-01,Lipstick,Beauty,4,500,15,425,1700,CUST0057,Cash
2025-01-01 17:09,2025-01-01,Earrings,Accessories,1,350,15,297,297,CUST0159,UPI
2025-01-01 19:03,2025-01-01,Face Cream,Beauty,1,390,0,390,390,CUST0109,UPI
2025-01-01 18:59,2025-01-01,Wallet,Bags,2,740,0,740,1480,CUST0029,Cash
2025-01-01 20:07,2025-01-01,Power Bank,Electronics,2,1320,0,1320,2640,CUST0050,Cash
2025-01-01 11:35,2025-01-01,Sunglasses,Accessories,1,620,0,620,620,CUST0164,Credit Card
2025-01-01 13:43,2025-01-01,Phone Cover,Electronics,1,240,15,204,204,CUST0038,UPI
2025-01-01 13:52,2025-01-01,Men's T-Shirt,Clothing,1,600,0,600,600,CUST0205,UPI
2025-01-01 20:46,2025-01-01,Charger,Electronics,1,780,15,663,663,CUST0205,Credit Card
2025-01-01 12:55,2025-01-01,Jacket,Clothing,1,2940,5,2793,2793,CUST0161,UPI
2025-01-01 13:05,2025-01-01,Phone Cover,Electronics,2,250,0,250,500,CUST0225,UPI
2025-01-01 20:50,2025-01-01,Pen Set,Stationery,1,140,15,119,119,CUST0245,UPI
2025-01-01 20:52,2025-01-01,Pen Set,Stationery,1,150,0,150,150,CUST0082,UPI
2025-01-01 18:12,2025-01-01,Dry Fruits Pack,Food & Gifts,2,910,5,864,1728,CUST0195,UPI
2025-01-01 20:12,2025-01-01,Saree,Clothing,1,1860,5,1767,1767,CUST0088,Credit Card
2025-01-01 11:55,2025-01-01,Handbag,Accessories,2,1520,15,1292,2584,CUST0177,Credit Card
2025-01-01 12:43,2025-01-01,Men's T-Shirt,Clothing,1,570,0,570,570,CUST0086,UPI
2025-01-01 18:29,2025-01-01,Phone Cover,Electronics,1,240,10,216,216,CUST0287,UPI
2025-01-01 12:47,2025-01-01,Socks (3pk),Clothing,2,200,5,190,380,CUST0011,Debit Card
2025-01-02 12:35,2025-01-02,Sunglasses,Accessories,1,620,0,620,620,CUST0295,UPI
2025-01-02 19:16,2025-01-02,Headphones,Electronics,2,1910,0,1910,3820,CUST0236,UPI
2025-01-02 18:26,2025-01-02,Notebook Set,Stationery,1,190,15,161,161,CUST0288,Debit Card
2025-01-02 19:44,2025-01-02,Kids' Dress,Clothing,1,680,0,680,680,CUST0196,Cash
2025-01-02 20:30,2025-01-02,Pen Set,Stationery,1,150,15,127,127,CUST0087,Debit Card
2025-01-02 12:31,2025-01-02,Wallet,Bags,1,720,0,720,720,CUST0037,UPI
2025-01-02 09:20,2025-01-02,Board Game,Toys,1,750,0,750,750,CUST0212,UPI
2025-01-02 12:14,2025-01-02,Sandals,Footwear,1,900,0,900,900,CUST0285,Credit Card
2025-01-02 11:12,2025-01-02,Kids' Dress,Clothing,1,720,10,648,648,CUST0060,UPI
2025-01-02 11:35,2025-01-02,Handbag,Accessories,1,1460,5,1387,1387,CUST0089,Credit Card
2025-01-02 10:08,2025-01-02,Chocolate Box,Food & Gifts,1,620,10,558,558,CUST0071,Cash
2025-01-02 12:50,2025-01-02,Jeans,Clothing,1,1230,0,1230,1230,CUST0119,UPI
2025-01-02 20:51,2025-01-02,Headphones,Electronics,1,2090,10,1881,1881,CUST0224,Cash
2025-01-02 16:59,2025-01-02,Kids' Dress,Clothing,1,710,5,674,674,CUST0007,UPI
2025-01-02 11:28,2025-01-02,Pen Set,Stationery,1,150,10,135,135,CUST0042,Debit Card
2025-01-02 13:20,2025-01-02,Kids' Dress,Clothing,2,720,10,648,1296,CUST0024,UPI
2025-01-02 20:51,2025-01-02,Men's T-Shirt,Clothing,1,580,15,493,493,CUST0285,UPI
2025-01-02 11:43,2025-01-02,Sports Shoes,Footwear,2,2490,0,2490,4980,CUST0163,Credit Card
2025-01-02 19:39,2025-01-02,Dry Fruits Pack,Food & Gifts,2,880,0,880,1760,CUST0117,UPI
2025-01-02 18:26,2025-01-02,Toy Car,Toys,2,450,15,382,764,CUST0263,Credit Card
2025-01-02 11:41,2025-01-02,Headphones,Electronics,1,1940,20,1552,1552,CUST0134,Cash
2025-01-02 19:08,2025-01-02,Cap,Accessories,1,280,15,238,238,CUST0093,UPI
2025-01-02 13:00,2025-01-02,Women's Kurti,Clothing,1,830,5,788,788,CUST0019,UPI
2025-01-02 11:27,2025-01-02,Pen Set,Stationery,1,150,0,150,150,CUST0068,UPI
2025-01-02 17:13,2025-01-02,Socks (3pk),Clothing,1,190,0,190,190,CUST0052,UPI
2025-01-02 20:11,2025-01-02,Saree,Clothing,1,1970,0,1970,1970,CUST0132,Cash
2025-01-02 17:15,2025-01-02,Backpack,Bags,1,1110,15,943,943,CUST0124,UPI
2025-01-02 11:20,2025-01-02,Dry Fruits Pack,Food & Gifts,1,910,5,864,864,CUST0290,UPI
2025-01-02 13:20,2025-01-02,Saree,Clothing,1,1820,15,1547,1547,CUST0098,Debit Card
2025-01-02 12:36,2025-01-02,Dry Fruits Pack,Food & Gifts,1,880,15,748,748,CUST0272,UPI
2025-01-02 18:33,2025-01-02,Board Game,Toys,1,780,0,780,780,CUST0134,Cash
2025-01-02 17:53,2025-01-02,Women's Kurti,Clothing,1,830,0,830,830,CUST0195,Cash
2025-01-02 10:01,2025-01-02,Watch,Accessories,1,3630,0,3630,3630,CUST0091,UPI
2025-01-02 09:07,2025-01-02,Watch,Accessories,2,3540,0,3540,7080,CUST0224,Cash
2025-01-02 20:49,2025-01-02,Power Bank,Electronics,1,1360,0,1360,1360,CUST0287,Debit Card
2025-01-02 17:04,2025-01-02,Handbag,Accessories,1,1470,0,1470,1470,CUST0018,UPI
2025-01-03 11:28,2025-01-03,Socks (3pk),Clothing,2,190,5,180,360,CUST0228,UPI
2025-01-03 18:18,2025-01-03,Socks (3pk),Clothing,1,200,0,200,200,CUST0254,Credit Card
2025-01-03 18:32,2025-01-03,Notebook Set,Stationery,1,200,10,180,180,CUST0121,UPI
2025-01-03 13:13,2025-01-03,Wallet,Bags,2,780,15,663,1326,CUST0035,UPI
2025-01-03 10:01,2025-01-03,Handbag,Accessories,1,1490,20,1192,1192,CUST0025,UPI
2025-01-03 18:37,2025-01-03,Chocolate Box,Food & Gifts,1,570,0,570,570,CUST0297,Cash
2025-01-03 21:00,2025-01-03,Sports Shoes,Footwear,1,2570,5,2441,2441,CUST0221,Credit Card
2025-01-03 18:11,2025-01-03,Notebook Set,Stationery,2,190,10,171,342,CUST0213,Cash
2025-01-03 10:33,2025-01-03,Charger,Electronics,1,770,5,731,731,CUST0156,UPI
2025-01-03 18:53,2025-01-03,Board Game,Toys,1,770,0,770,770,CUST0036,UPI
2025-01-03 19:55,2025-01-03,Face Cream,Beauty,1,380,0,380,380,CUST0257,UPI
2025-01-03 12:12,2025-01-03,Lipstick,Beauty,1,480,0,480,480,CUST0169,UPI
2025-01-03 10:35,2025-01-03,Phone Cover,Electronics,1,240,5,228,228,CUST0223,Credit Card
2025-01-03 17:05,2025-01-03,Cap,Accessories,2,280,10,252,504,CUST0006,UPI
